date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,24,28,28,25,16,35,92,2.5,1009,25,9,33,9,"5.4643,100.2427"
2009-01-01 03:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,23,27,27,25,18,33,91,0.0,1008,25,10,34,11,"5.4643,100.2427"
2009-01-01 06:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,23,27,27,24,29,88,90,0.0,1009,24,10,43,18,"5.4643,100.2427"
2009-01-01 09:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,23,30,30,27,13,46,79,0.0,1010,27,10,43,10,"5.4643,100.2427"
2009-01-01 12:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,24,33,33,29,11,78,76,0.7,1008,29,10,30,8,"5.4643,100.2427"
2009-01-01 15:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,24,31,31,27,8,38,84,3.2,1007,27,7,333,5,"5.4643,100.2427"
2009-01-01 18:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,24,28,28,25,25,47,91,5.0,1009,25,7,48,15,"5.4643,100.2427"
2009-01-01 21:00:00,29,24,0.0,10.2,6,31,10:50 AM,11:03 PM,07:28 AM,07:17 PM,23,28,28,25,16,86,92,0.5,1010,25,10,66,10,"5.4643,100.2427"
2009-01-02 00:00:00,26,24,0.0,7.4,6,38,11:30 AM,11:48 PM,07:29 AM,07:18 PM,23,27,27,24,16,92,92,1.4,1010,24,10,37,10,"5.4643,100.2427"
2009-01-02 03:00:00,26,24,0.0,7.4,6,38,11:30 AM,11:48 PM,07:29 AM,07:18 PM,23,26,26,24,21,62,92,3.5,1008,24,7,58,13,"5.4643,100.2427"
2009-01-02 06:00:00,26,24,0.0,7.4,6,38,11:30 AM,11:48 PM,07:29 AM,07:18 PM,23,27,27,24,18,82,91,7.5,1009,24,3,70,11,"5.4643,100.2427"
2009-01-02 09:00:00,26,24,0.0,7.4,6,38,11:30 AM,11:48 PM,07:29 AM,07:18 PM,24,29,29,26,15,66,88,4.1,1011,26,7,89,8,"5.4643,100.2427"
